PT,EN
que,what
não,no
de,of
um,one
para,to
eu,I
se,if
me,me
uma,one
está,this
com,with
do,of
por,put
te,you
os,you
bem,good
em,in
ele,he
isso,that
mas,but
da,from the
como,as
no,node
sim,Yes
as,to the
mais,more
na,in
meu,my
você,you
aqui,here
muito,very
foi,he was
estou,I am
vamos,let's go
ela,she
fazer,to do
vai,go
isto,this
já,already
tem,he has
só,only
minha,my
nos,us
ser,to be
tudo,all
ao,to the
tenho,I have
vou,I go
sei,I know
agora,now
há,there is
lá,there
tu,you
quando,when
porque,why
estás,these
quem,who
onde,where
nada,nothing
ter,to have
então,then
dizer,to say
lhe,him
seu,your
era,was
sou,am
ou,or
coisa,thing
quero,I want
são,they are
sua,your
pode,he can
nós,us
mesmo,same
ver,see
disse,he said
eles,they
bom,good
estava,he was
esta,this
todos,all
mim,me
posso,can I
dos,of the
lo,it
estão,they are
temos,we have
nunca,never
este,this
casa,home
até,until
assim,like this
acho,I think
quer,he wants
tens,you have
tempo,time
ir,go
falar,to speak
quê,what
ainda,yet
tua,your
teu,your
favor,please
pai,father
também,also
obrigado,thanks
vez,time
deus,God
certo,right
tão,so
sobre,on
melhor,better
noite,night
és,you are
dia,day
estamos,we are
talvez,perhaps
nem,nor
depois,after
sempre,always
sabe,he knows
mãe,mother
vida,life
sem,without
alguém,somebody
olá,hello
anos,years
sabes,you know
ti,you
homem,man
dele,from him
alguma,some
das,of
algo,something
parece,it seems
sr,sir
tinha,he had
senhor,sir
boa,good
vais,you go
coisas,things
estar,be
faz,he does
queres,do you want
vocês,you
dois,two
ficar,to stay
pelo,for the
preciso,necessary
aí,there
diz,it says
claro,Of course
pessoas,people
essa,that
verdade,true
dar,give
esse,that
antes,before
ninguém,nobody
tipo,type
la,there
vão,they go
trabalho,work
oh,oh
grande,big
comigo,with me
outra,other
apenas,just
espera,wait
saber,to know
vá,go
podes,you can
pouco,little
dinheiro,money
qual,which
qualquer,any
pois,then
podemos,we can
fora,outside
pela,for the
merda,Shit
deve,he must
daqui,from here
olha,look
cá,here
filho,son
disso,from that
toda,all
hoje,today
mulher,woman
meus,my
todo,all
nome,name
seja,it is
num,in a
desculpa,sorry
outro,other
